web-scraper-order,web-scraper-start-url,link,link-href
1664684172-1,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 6/ và phát âm,https://www.youtube.com/watch?v=l7jDotG5ZlY
1664684172-2,https://www.youtube.com/user/HocEnglishOnline/videos,Chữ GET,https://www.youtube.com/watch?v=YqXXKV52eis
1664684172-3,https://www.youtube.com/user/HocEnglishOnline/videos,Từ Vựng 1,https://www.youtube.com/watch?v=Ah-IcnK5reY
1664684172-4,https://www.youtube.com/user/HocEnglishOnline/videos,Tiểu Bang và Thành Phố Mỹ,https://www.youtube.com/watch?v=ER8TiV4BGp8
1664684172-5,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 5 (và phát âm),https://www.youtube.com/watch?v=_IKM1-XCwX4
1664684172-6,https://www.youtube.com/user/HocEnglishOnline/videos,Tiếng Việt Lạ Quá,https://www.youtube.com/watch?v=5T3joa-ja9w
1664684172-7,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 4,https://www.youtube.com/watch?v=CGBe1ZNInOw&t=125s
1664684172-8,https://www.youtube.com/user/HocEnglishOnline/videos,Âm Ngắn Và Âm Dài,https://www.youtube.com/watch?v=O0_8JRyr-f0
1664684172-16,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 3,https://www.youtube.com/watch?v=FZtSdfZz6Fo
1664684172-17,https://www.youtube.com/user/HocEnglishOnline/videos,10 Từ Các Bạn Phát Âm Chưa Chuẩn,https://www.youtube.com/watch?v=oJ-OooNgRgc
1664684172-18,https://www.youtube.com/user/HocEnglishOnline/videos,Sành Điệu Về Hàng Hiệu 2,https://www.youtube.com/watch?v=0fDrei2kz-U
1664684172-19,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 2,https://www.youtube.com/watch?v=xr84aZ2zhOs
1664684172-20,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 83: Phát Âm Những Địa Diểm Quen Thuộc,https://www.youtube.com/watch?v=uIgJ0hOKWt4
1664684172-21,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 1,https://www.youtube.com/watch?v=akXGSw7H49Y
1664684172-22,https://www.youtube.com/user/HocEnglishOnline/videos,Sành Điệu Về Nước Uống,https://www.youtube.com/watch?v=QmxPDNuN2fY
1664684172-23,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 81: Mắng Sao Cho Sành Điệu,https://www.youtube.com/watch?v=D7SZQzAAa1U
1664684172-24,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 32: Luyện Nghe Thêm,https://www.youtube.com/watch?v=TXd7n_aJxj8
1664684172-25,https://www.youtube.com/user/HocEnglishOnline/videos,Getting A Christmas Tree,https://www.youtube.com/watch?v=BjltY78f03Y
1664684172-26,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 31: Luyện Nghe,https://www.youtube.com/watch?v=Z4P3o8Uolp8
1664684172-27,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 30: Loi Khuyen Nho Nho/ Phrasal Verb Go,https://www.youtube.com/watch?v=7nkDu7rIa6A
1664684172-28,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 29: Tuong Lai,https://www.youtube.com/watch?v=SkFLwzWCY-k
1664684172-29,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 80: Listening Skills..Dân Chủ vs Cộng Hoà,https://www.youtube.com/watch?v=xOJqpnKJHmk
1664684172-30,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 28: Education,https://www.youtube.com/watch?v=V1_KHFTDm5I
1664684172-31,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 27: Find/Look for, Soon/Early/Earlier, Lời khuyên Nho Nhỏ",https://www.youtube.com/watch?v=7R0cUVAh1p8
1664684172-32,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 26: Nhung cum tu tu nhien....,https://www.youtube.com/watch?v=w7ESF5fv0-4
1664684172-33,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 25: Going Shopping,https://www.youtube.com/watch?v=mTiIm-CGhiI
1664684172-34,https://www.youtube.com/user/HocEnglishOnline/videos,"English Co Ban 24: Other, Another, Nhà Hàng",https://www.youtube.com/watch?v=LvsNXup4RdE
1664684172-35,https://www.youtube.com/user/HocEnglishOnline/videos,"English Co Ban 23: Either, Neither...",https://www.youtube.com/watch?v=DN5e8249GOA
1664684172-36,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 22: Hướng Dẫn Đường,https://www.youtube.com/watch?v=4yeNGcBnq2M
1664684172-37,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 21: Almost, Most, Never, Ever...",https://www.youtube.com/watch?v=Jy1Yn6mnqKk
1664684172-38,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 79: Tạo Những Cấu Trúc Quạo,https://www.youtube.com/watch?v=yxfX1eFnjLs
1664684172-39,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 20:  Giới Từ...,https://www.youtube.com/watch?v=eN6cRQHC3Pk
1664684172-40,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 19:  So Sánh...Hơn,https://www.youtube.com/watch?v=ohddzyVjZoI
1664684172-41,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 18:  So Sánh...Giống Nhau,https://www.youtube.com/watch?v=RcHuvndR56o
1664684172-42,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 17:  Nối Âm,https://www.youtube.com/watch?v=0eeeVW2qyas
1664684172-43,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 16:  Phát âm cơ bản 2,https://www.youtube.com/watch?v=Wy0YIHJLyoQ
1664684172-44,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 15:  Phát âm cp5 bản 1,https://www.youtube.com/watch?v=lOeLRKZd7To
1664684172-45,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 14:  Câu Hỏi...What, When, Where, Why, How?",https://www.youtube.com/watch?v=VrgMI7YRjkA
1664684172-46,https://www.youtube.com/user/HocEnglishOnline/videos,Tap78: Color/ Màu,https://www.youtube.com/watch?v=Wa_G5S8j6nk
1664684172-47,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 13:  Từ Rút Gọn Không Trang Trọng,https://www.youtube.com/watch?v=CWOZrc1eGIs
1664684172-48,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 12: Từ Vựng Giao Tiếp,https://www.youtube.com/watch?v=PQM0pngg21o
1664684172-49,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 11...Must/Have to, When, Where...,Giao Tiếp...",https://www.youtube.com/watch?v=aCQ0UIo3wRI
1664684172-50,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 77: Sành Điệu Về Hiệu Xe,https://www.youtube.com/watch?v=jGxG887h1iE
1664684172-51,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 10...Những Âm Các Bạn Nên Chú Ý,https://www.youtube.com/watch?v=m30CJdrBHhc
1664684172-52,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 9: Chú Ý  Đến Phát Âm Của Tiếng Anh,https://www.youtube.com/watch?v=bE3j1ouqmQI
1664684172-53,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 8: Sở Hữu và Mổ Xẽ Dạn Động Từ,https://www.youtube.com/watch?v=enk54bonkyE
1664684172-54,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 7: Quá Khứ Tiếp Diển và Hiện Tại Hoàn Thành,https://www.youtube.com/watch?v=9bFlb5Unyp0
1664684172-55,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 76: Sành Diệu Về Hàng Hiệu,https://www.youtube.com/watch?v=CMYiLq-UgD4&t=278s
1664684172-56,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 6...Số Ít Số Nhiều,https://www.youtube.com/watch?v=4fLB7v2Xi24
1664684172-57,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 5,https://www.youtube.com/watch?v=TO0Qm6bgODQ
1664684172-58,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 4,https://www.youtube.com/watch?v=aIRR6NSAsQw
1664684172-59,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 3...ABC, quá khứ đơn, tiếp diển...",https://www.youtube.com/watch?v=4kJlYXX8O6g
1664684172-60,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 2...singular/plural, this is, that is, those are...",https://www.youtube.com/watch?v=v4Wtswfr4zA
1664684172-61,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 75: Quốc Gia...Phần 2,https://www.youtube.com/watch?v=YgWAOwETFtA
1664684172-62,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 1...I, you, he, she, they, to be...",https://www.youtube.com/watch?v=rSJAixS-vZs
1664684172-63,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 74: Quốc Gia...Phần 1,https://www.youtube.com/watch?v=xg3soxS_ocg
1664684172-64,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 73: Lời Khuyên Nho Nhỏ...Was/Were,https://www.youtube.com/watch?v=K8EsXnCwnJc
1664684172-65,https://www.youtube.com/user/HocEnglishOnline/videos,"Tập 72: Idiom/ Thành Ngữ ""Long""",https://www.youtube.com/watch?v=vKv88hP0Jz0
1664684172-66,https://www.youtube.com/user/HocEnglishOnline/videos,"Tập 71: âm ""ain"" và ""ane""",https://www.youtube.com/watch?v=ypKRzvxivog
1664684172-67,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 70: Just vs Only,https://www.youtube.com/watch?v=kH2i6XqNmkk
1664684172-68,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 69: Các dấu câu ~ ! @ # $ % ^ &...,https://www.youtube.com/watch?v=GiHnAHEtWWc
1664684172-69,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 68: Tion và Sion,https://www.youtube.com/watch?v=UHKwhkKMVeM
1664684172-70,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 67: Halloween...Trick or Treat,https://www.youtube.com/watch?v=3IJmpGCl6to
1664684172-71,https://www.youtube.com/user/HocEnglishOnline/videos,"Tập 66: work, wall, walk, word, war...",https://www.youtube.com/watch?v=KO3DHKn7tt4
1664684172-72,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 65: Airshow/ Triễn Lãm Máy Bay,https://www.youtube.com/watch?v=Ag6HfZ-gfZ0
1664684172-73,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 64: 5 Cấu Trúc Bạn Dùng Sai,https://www.youtube.com/watch?v=mrZRzX4MeoI
1664684172-74,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 63: Âm T,https://www.youtube.com/watch?v=byXxO_Lx4kI
1664684172-75,https://www.youtube.com/user/HocEnglishOnline/videos,"Tập 62: 100,000 Thank You's",https://www.youtube.com/watch?v=0Y6lQxu24Xk
1664684172-76,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 61: Cách Phát Âm Một Số Âm Cuối,https://www.youtube.com/watch?v=NLbo1biSXWE
1664684172-77,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 60: Giọng Anh và Giọng Mỹ,https://www.youtube.com/watch?v=ux3rRgUV2MM
1664684172-78,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 59: Số Đếm Thứ Tự,https://www.youtube.com/watch?v=3kHRNVnixcc
1664684172-79,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 58: 4 Điều Nên Luyện Tập Trong Tiếng Anh,https://www.youtube.com/watch?v=9IHb4PBrxYQ
1664684172-80,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 57: Thành Ngữ 2...Idiom 2,https://www.youtube.com/watch?v=pagmmpck4Ys
1664684172-81,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 56: Từ Vựng Các Bạn Dùng Chưa Chính Xác,https://www.youtube.com/watch?v=gNNlgo6Pc4E
1664684172-82,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 55: Lời Khuyên Nho Nhỏ: Phát âm tiêng Anh,https://www.youtube.com/watch?v=lVmVvkft2q8
1664684172-83,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 54: Học Tiếng Anh...Những Câu Tỏ Tình,https://www.youtube.com/watch?v=kZAM1h2u9R4
1664684172-84,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 9: My Christmas Tree,https://www.youtube.com/watch?v=q0aWNd9eqo0
1664684172-85,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 53: Tiếng Anh Lịch Sự...Phần 2,https://www.youtube.com/watch?v=Ny5dVmQqw3A
1664684172-86,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 52: Poem/ Bài Thơ: English Hates Me,https://www.youtube.com/watch?v=RIIdQy99VR0
1664684172-87,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 51: Từ Vựng Giao Tiếp Hàng Ngày...Ăn/ Eat,https://www.youtube.com/watch?v=Um_Maxdf0mI
1664684172-88,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 8 / Listening Skill 8...Tiếng Anh,https://www.youtube.com/watch?v=3Tq1CMfxZYQ
1664684172-89,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 50: Nói Tiếng Anh Cho Sành Điệu 2,https://www.youtube.com/watch?v=GMewCHAv6FY
1664684172-90,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 49: Tiếng Anh Thì Thầm...""Went""",https://www.youtube.com/watch?v=LwZrewQnraI
1664684172-91,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 48: Tiếng Anh: Family/ Gia Đình,https://www.youtube.com/watch?v=84c0rUgtBzA
1664684172-92,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 47: Tiếng Anh...Âm Câm,https://www.youtube.com/watch?v=zGKeLH3xlHc
1664684172-93,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 7 / Listening Skill 7...Tiếng Anh,https://www.youtube.com/watch?v=TeLepj2UUc0
1664684172-94,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 46: Tiếng Anh: Wanna, gotta, gonna, kinda, shoulda...",https://www.youtube.com/watch?v=KuYwJ4RIEdA
1664684172-95,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 6 / Listening Skill 6...Tiếng Anh,https://www.youtube.com/watch?v=VwXI3d2WAcM
1664684172-96,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 5 / Listening Skill 5...Tiếng Anh,https://www.youtube.com/watch?v=queckIa11A0
1664684172-97,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 4 / Listening Skill 4...Tiếng Anh,https://www.youtube.com/watch?v=lqpuhrem-q4
1664684172-98,https://www.youtube.com/user/HocEnglishOnline/videos,Thành Ngữ 1/ Idiom,https://www.youtube.com/watch?v=nc8V8BZFX9s
1664684172-99,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 45: Phát Âm Tiếng Anh...Những Từ Các Bạn Gặp Trở Ngai 2,https://www.youtube.com/watch?v=UU23ns59n8k
1664684172-100,https://www.youtube.com/user/HocEnglishOnline/videos,Phrasal Verbs/ Cụm Từ Thông Dụng Hàng NgàyTập 2,https://www.youtube.com/watch?v=favRU7Eg1Co
1664684172-101,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 3 / Listening Skill 3...Tiếng Anh,https://www.youtube.com/watch?v=1Lt8baVdSqM
1664684172-102,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 44: Phát Âm Tiếng Anh...Những Từ Các Bạn Gặp Trở Ngại,https://www.youtube.com/watch?v=EhcEAhszdbo
1664684172-103,https://www.youtube.com/user/HocEnglishOnline/videos,Ngữ Điệu 1: Tiếng Anh Thông Dụng Hàng Ngày,https://www.youtube.com/watch?v=zTE8YypAEDg
1664684172-104,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 2 / Listening Skill 2...Tiếng Anh,https://www.youtube.com/watch?v=57Wmh1bVbJk
1664684172-105,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe Tập 1 / Listening Skill 1...Tiếng Anh,https://www.youtube.com/watch?v=eW9k36TnAk8
1664684172-106,https://www.youtube.com/user/HocEnglishOnline/videos,Phrasal Verbs/ Cụm Từ Tập 1,https://www.youtube.com/watch?v=bAHVI8d5Yaw
1664684172-107,https://www.youtube.com/user/HocEnglishOnline/videos,Từ Vựng 7: Nghe và Thấy,https://www.youtube.com/watch?v=AuaeSMVPyqA
1664684172-108,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 43: Âm ""t"" cuối chữ",https://www.youtube.com/watch?v=HT92bPQJSQo
1664684172-109,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 42: Lời khuyên Nho Nhỏ...Động Từ Quá Khứ,https://www.youtube.com/watch?v=oj5-JUPUiKU
1664684172-110,https://www.youtube.com/user/HocEnglishOnline/videos,"Tập 41: Phát Âm...ult, ool",https://www.youtube.com/watch?v=8S2A4gyHna0
1664684172-111,https://www.youtube.com/user/HocEnglishOnline/videos,"50,000 Thank Yous",https://www.youtube.com/watch?v=ZH-HepNudxI
1664684172-112,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 40: Phát Âm...Tên Của Tháng,https://www.youtube.com/watch?v=yrsW2_Pdvvo
1664684172-113,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 39: Phát Âm...Tên Của Ngày Trong Tuần/ Days of the Week,https://www.youtube.com/watch?v=ogmf87RAZN0
1664684172-114,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 38: Cach Hoc Tu Vung,https://www.youtube.com/watch?v=u3xduVA5SpU
1664684172-115,https://www.youtube.com/user/HocEnglishOnline/videos,Từ Vựng/ Vocabulary: Love,https://www.youtube.com/watch?v=CdZbTKvCjJ4
1664684172-116,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 37: Hoc tieng Anh...Am schwa la gi?,https://www.youtube.com/watch?v=FmrHUfu0oU0
1664684172-117,https://www.youtube.com/user/HocEnglishOnline/videos,Đi chơi tết Las Vegas,https://www.youtube.com/watch?v=x9f7vpV2yfs
1664684172-118,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 36: Phat Am Tieng Anh: Thap Cam Phan 3,https://www.youtube.com/watch?v=-vR_-WXrAE8
1664684172-119,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 35: Phuong Phap Hoc Tieng Anh...Noi am,https://www.youtube.com/watch?v=fEEZIpLj-Co
1664684172-120,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 34: Hoc tieng Anh...Sống và Chết..Live, life, die, dead, death",https://www.youtube.com/watch?v=7NIh30PPKLc
1664684172-121,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 33: Hoc tieng Anh...Giong Anh? Giong My? Giong nao Chuan?,https://www.youtube.com/watch?v=2uFwvg8kAUY
1664684172-122,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 32: Hoc tieng Anh...Sometime, sometime, some time, another, other, learn, study",https://www.youtube.com/watch?v=XdD5Qzhaln0
1664684172-123,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 31: Hoc hat ABC,https://www.youtube.com/watch?v=Zdnn9op184E
1664684172-124,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 30: Hoc tieng Anh...see watch look say talk speak tell, listen, hear",https://www.youtube.com/watch?v=oPsL9nE76tg
1664684172-125,https://www.youtube.com/user/HocEnglishOnline/videos,Tu Vung 5 / Vocabulary: Ex,https://www.youtube.com/watch?v=1023CGk-cQU
1664684172-126,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 29: Phát âm... Đếm bằng tiếng Anh/ Counting,https://www.youtube.com/watch?v=EPv5DPdhykg
1664684172-127,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 28: Hoc tieng Anh: So sánh...Hơn,https://www.youtube.com/watch?v=YlLJQNfyYik
1664684172-128,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 27: Hoc tieng Anh: Nhung cau lich su phan 1,https://www.youtube.com/watch?v=dOoMUVj2Szo
1664684172-129,https://www.youtube.com/user/HocEnglishOnline/videos,Tu Vung 4 / Vocabulary: Cuoi,https://www.youtube.com/watch?v=G21KubtFIus
1664684172-130,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 26: Phat Am Tieng Anh: Thap Cam Phan 2,https://www.youtube.com/watch?v=BKFYjM_glfw
1664684172-131,https://www.youtube.com/user/HocEnglishOnline/videos,Tu Vung 3 / Vocabulary: Chanh,https://www.youtube.com/watch?v=69tzI42MNsc
1664684172-132,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 25: am S vs am Z,https://www.youtube.com/watch?v=egYk8OAgpw4
1664684172-133,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 24: Hoc tieng anh/ Loi khuyen nho nho,https://www.youtube.com/watch?v=6UGM_KxkhhQ
1664684172-134,https://www.youtube.com/user/HocEnglishOnline/videos,"Tu Vung 2 / Vocabulary: Gorgeous, hideous, grotesque...",https://www.youtube.com/watch?v=uNCj5XgyVTU
1664684172-135,https://www.youtube.com/user/HocEnglishOnline/videos,"Tu Vung 1 / Vocabulary: Legal, create, economy...",https://www.youtube.com/watch?v=H0pb1lyLWb0&t=597s
1664684172-136,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 23: Phat Am Tieng Anh: You're, they're, I'd, you'd. she'd...",https://www.youtube.com/watch?v=42PDMWRB1xg&t=28s
1664684172-137,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 22: Phat Am Tieng Anh: Tu long, slang, expression",https://www.youtube.com/watch?v=8PkTge-nFw8
1664684172-138,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 21: Phat Am Tieng Anh: Nhung tu cac ban con boi roi,https://www.youtube.com/watch?v=gaJHfTTKyxg
1664684172-139,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 20: Phat Am Tieng Anh: am ""th"" cuoi chu",https://www.youtube.com/watch?v=cQvNxfmA4OE
1664684172-140,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 19: Noi tieng Anh cho ""sanh dieu""",https://www.youtube.com/watch?v=VbjqsUZaYGE
1664684172-141,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 18: Phat Am Tieng Anh: Tra loi thap cam,https://www.youtube.com/watch?v=Wk5rBi9_-CI
1664684172-142,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 16: Phat Am Tieng Anh: X, Ex, xt",https://www.youtube.com/watch?v=5S76xEPVhn0
1664684172-143,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 17: Phat Am Tieng Anh: Loi khuyen nho nho ve am ""th""",https://www.youtube.com/watch?v=EDmtwo47Qu8
1664684172-144,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 15: Phat Am Tieng Anh: I've, You've, He's, She's...",https://www.youtube.com/watch?v=QxLh1fjHOQ8
1664684172-145,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 13: Phat Am Tieng Anh: _ile, ild, _rl",https://www.youtube.com/watch?v=eKL2C3mRtBI
1664684172-146,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 14: Phat Am Tieng Anh: Gop y va yeu cau cua cac ban,https://www.youtube.com/watch?v=bUMGk4Y2ruw
1664684172-147,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 12: Phat Am Tieng Anh: Long E,https://www.youtube.com/watch?v=KahFrn8_fbo
1664684172-148,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 11: Phat Am Tieng Anh/ Verb + ed,https://www.youtube.com/watch?v=_41ql81kMwA
1664684172-149,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 10: Phat am giong nguoi My,https://www.youtube.com/watch?v=rXFycuwnifw&t=89s
1664684172-150,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 9: Phat Am Tieng Anh/ I'll, You'll, He'll, She'll, They'll...",https://www.youtube.com/watch?v=fCOJsJgVlw0&t=7s
1664684172-151,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 8: Phat Am Tieng Anh/ Loi khuyen/ Phuong phap 1,https://www.youtube.com/watch?v=Z5jJDYDVY7Q
1664684172-152,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 7: Phat Am Tieng Anh/ Am Th,https://www.youtube.com/watch?v=N2_IWMHVCfs&t=145s
1664684172-153,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 6: Phat Am Tieng Anh/ Have, has, had/ back/ word, work, world",https://www.youtube.com/watch?v=Tc_Qh4ZQUk4&t=118s
1664684172-154,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 5: Phat Am Tieng Anh/ Am J, Ch",https://www.youtube.com/watch?v=k8IAA7NAvVc
1664684172-155,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 4: Phat Am Tieng Anh/ Phun va khac...Cl, Gl, Dr, Tr",https://www.youtube.com/watch?v=Fwa7OnKYU6o
1664684172-156,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap 3: Phat Am Tieng Anh/ Am ""S"" trong tieng Anh",https://www.youtube.com/watch?v=weLYDqy0wQU
1664684172-157,https://www.youtube.com/user/HocEnglishOnline/videos,Tap 2: Phat Am Tieng Anh/ Nhung am cac ban gap tro ngai,https://www.youtube.com/watch?v=0B-7pUlo0tg
1664684172-158,https://www.youtube.com/user/HocEnglishOnline/videos,"Tap1: Phat Am Tieng Anh/ can, can't, to, two, too",https://www.youtube.com/watch?v=Ew9N4rnfrBA&t=176s
